"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"gender"	"age"	"DIS_POS_01"	"EMP_NEG_01"	"EMP_POS_01"	"RES_NEG_01"	"RES_POS_01"	"RES_POS_02"	"RES_POS_03"	"EMP_NEG_02"	"DIS_POS_02"	"DIS_NEG_01"	"EMP_POS_02"	"RES_POS_04"	"EMP_NEG_03"	"EMP_POS_03"	"EMP_NEG_04"	"DIS_POS_03"	"DIS_NEG_02"	"RES_POS_05"	"DIS_NEG_03"	"RES_POS_06"	"DIS_NEG_04"	"RES_POS_07"	"DIS_NEG_05"	"EMP_POS_04"	"DIS_NEG_06"	"RES_POS_08"	"EMP_POS_05"	"RES_POS_09"	"rpgcode"	"PLY_NEG_01"	"PLY_POS_01"	"PLY_NEG_02"	"PL_POS_02"	"PL_NEG_03"	"PL_NEG_04"	"PL_POS_03"	"PL_NEG_05"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
43			"base"	"interview"	2020-03-04 19:06:48	2	39	4	1	5	2	4	5	5	2	3	2	4	5	3	4	5	5	3	5	3	5	4	4	3	5	3	5	5	5	"35351-1-1-5-3-15-153355533-5-5-5-3533351"	3	4	2	4	5	4	4	3	6	7	28	79	120		2020-03-04 19:08:48	1	0	4	4	0	0	1,3	15
45			"base"	"interview"	2020-03-04 19:58:05	1	18	1	1	3	3	3	2	5	3	3	4	5	2	4	4	2	2	4	5	5	5	2	4	2	4	4	4	5	3	"55351-3-1-1-1-15-153335553-1-5-5-3333311"	1	5	1	5	2	3	2	3	6	9	26	80	121		2020-03-04 20:00:06	1	0	4	4	0	0	1,24	12
46			"base"	"interview"	2020-03-04 22:07:36	2	15	4	4	4	4	4	2	4	4	4	4	5	5	4	4	5	5	4	5	4	5	5	5	4	3	4	4	4	3	"31353-3-3-3-1-35-353131553-1-5-1-3535133"	2	4	2	4	4	4	4	4	7	13	51	129	200		2020-03-04 22:10:56	1	0	4	4	0	0	0,81	0
47			"base"	"interview"	2020-03-04 22:24:32	3	26	4	2	3	2	4	4	3	3	3	4	5	5	2	4	1	2	3	3	3	4	3	3	4	4	4	4	5	5	"35351-3-3-3-1-15-353155515-5-3-1-3535131"	1	4	1	5	2	2	4	3	6	9	26	96	137		2020-03-04 22:26:49	1	0	4	4	0	0	1,18	9
48			"base"	"interview"	2020-03-04 22:48:55	2	18	5	2	3	3	4	4	4	2	4	3	5	4	3	4	2	4	2	4	3	4	3	4	2	4	3	3	4	4	"35351-1-1-1-1-35-153155553-5-5-5-3333331"	2	5	2	4	2	2	4	2	5	8	30	87	130		2020-03-04 22:51:05	1	0	4	4	0	0	1,25	13
49			"base"	"interview"	2020-03-04 23:08:10	1	25	5	1	5	3	3	5	4	1	1	4	4	4	3	4	1	4	4	1	2	4	4	5	2	5	4	5	5	5	"15351-3-1-3-1-35-353155555-1-3-5-3333311"	1	3	1	5	1	4	4	1	5	8	25	1372	150		2020-03-04 23:31:40	1	0	4	4	0	0	1,01	12
50			"base"	"interview"	2020-03-04 23:36:34	1	24	2	2	5	1	4	4	5	2	3	4	5	4	2	4	1	3	2	4	2	5	2	4	3	4	2	5	5	5	"13351-1-3-3-3-35-313535553-1-5-5-3533333"	3	5	3	3	4	4	4	4	3	7	38	201	249		2020-03-04 23:40:43	1	0	4	4	0	0	1,25	18
57			"base"	"interview"	2020-03-05 04:18:57	1	15	2	2	1	4	2	4	1	5	1	4	5	2	3	2	4	1	4	1	4	4	5	3	4	4	5	1	5	3	"35151-3-1-5-1-15-133311555-5-5-5-3313311"	2	1	1	5	2	3	1	2	5	12	29	88	134		2020-03-05 04:21:11	1	0	4	4	0	0	1,15	10
58			"base"	"interview"	2020-03-06 12:51:44	2	25	3	2	4	3	4	4	4	1	3	2	5	4	2	4	3	2	4	5	4	5	4	5	4	5	3	4	5	5	"35551-1-1-3-5-15-153355551-5-5-5-3535313"	4	5	2	4	1	4	4	1	5	8	56	124	193		2020-03-06 12:54:57	1	0	4	4	0	0	1,01	6
59			"base"	"interview"	2020-03-06 16:01:39	2	25	3	4	5	2	4	2	4	3	3	4	5	4	2	4	3	4	5	1	2	5	4	5	2	5	5	5	4	5	"55155-1-3-3-1-15-355135155-5-5-5-1335331"	1	5	1	5	1	4	3	1	14	11	77	174	229		2020-03-06 16:06:15	1	0	4	4	0	0	0,62	0
